Translator|翻译器
revivify-description|复活蛞蝓猫和蛞蝓幼崽的尸体，无论是否在合作模式下！将你的朋友平放在坚实的地面上，有节奏地每秒按两次抓取键来复苏他们。从死亡之门归来是一项艰难的考验，之后要好好照顾他们。<LINE><LINE>可配置。美术由 twitter.com/GarbageWastes 提供，代码位于 github.com/Dual-Iron/revivify。
osha-gates-name|[无障碍] OSHA合规业力门
osha-gates-description|防止区域业力门在所有物体安全通过之前关闭。再也不用担心把珍珠、长矛、尸体、朋友或其他东西丢在那该死的门里了！<LINE><LINE>代码位于 github.com/Dual-Iron/osha-compliant-gates。
drainagelizards.sharkboi2701-name|[生物] 蜥蜴变种
drainagelizards.sharkboi2701-description|添加了3种适应排水系统的蜥蜴！后续还会有更多。
babylizardsdownpour.sharkboi2701-name|[生物] 幼年蜥蜴 倾盆大雨
babylizardsdownpour.sharkboi2701-description|包含所有倾盆大雨DLC蜥蜴的幼年变种。
salmonlizardleaflizardsharkboi2701-name|[生物] 鲑鱼蜥蜴和叶蜥蜴
salmonlizardleaflizardsharkboi2701-description|添加2种我认为非常适合基础游戏的新蜥蜴。
babylizardswatcher.sharkboi2701-name|[生物] 幼年蜥蜴 观望者
babylizardswatcher.sharkboi2701-description|包含几乎所有观望者蜥蜴的幼年变种。
leemoriya.inventory-name|[游戏机制] 物品栏
leemoriya.inventory-description|一个可自定义的玩家物品栏，通过按住地图按钮访问。使用方向键和跳跃键存储和取出物品，按拾取键切换到地图。
notchoc.ModTags-name|[菜单优化] 模组标签
notchoc.ModTags-description|将你的模组组织成易于管理的合集！<LINE><LINE>按住标签按钮1秒（或按右键）分配标签；重复操作退出标签模式。<LINE>要重新排序标签，按住并按上/下键。<LINE>进入标签模式自定义标签：按回车键重命名，点击（或Shift+点击）更改图标！
improved-input-config-name|[工具,无障碍] 改进的输入配置：扩展版
improved-input-config-description|扩展输入系统，允许其他模组轻松添加新的自定义按键绑定。<LINE><LINE>为更好的鼠标/手柄支持而重写。<LINE>与观望者DLC兼容。
pushtomeow-name|[体验优化] 按一下喵
pushtomeow-description|蛞蝓猫发出喵喵声 :3<LINE>喵喵键可以在设置中重新绑定，默认为M键。<LINE>你也可以在这里为溪流选择替代音效（有两个版本）。
franklygd.offscreenindicators-name|[游戏机制] 屏幕外指示器
franklygd.offscreenindicators-description|帮助你判断屏幕外生物相对于当前视野的位置和距离。添加其他有助于显示另一侧情况的工具。<LINE><LINE>缩略图美术由 IADhunter 提供。
DevTranslation-name|[翻译,工具] 开发者工具翻译
DevTranslation-description|此模组用于翻译开发者工具。
immortalpups-name|[游戏机制，无障碍] 不朽幼崽
immortalpups-description|使蛞蝓幼崽无法被杀死。现在还能防止掉入死亡深渊！
gelbi.no_stuck_pups-name|[体验优化] 幼崽不卡住
gelbi.no_stuck_pups-description|有时在周期开始时，幼崽会生成在避难所墙壁中（主要在你拥有超过2只幼崽或使用自定义避难所的模组时，如“多样化避难所”）。此模组通过将所有幼崽传送到某个玩家或第一只幼崽（如果你扮演的是幼崽的话）来修复此行为。
Wu_JollyCoopFix-name|[体验优化] 欢乐合作玩家1解锁
Wu_JollyCoopFix-description|在欢乐合作中解锁了第一个玩家。
centipede-shields-name|[物品] 蜈蚣盾牌
centipede-shields-description|当蜈蚣的甲壳脱落时，有一定几率成为一件你可以用作盾牌的物品。<LINE><LINE>代码位于 https://github.com/Dual-Iron/fisobs/tree/master/examples/centipede-shields。
yeliah.slugpupFieldtrip-name|[修复] 蛞蝓幼崽 Safari
yeliah.slugpupFieldtrip-description|蛞蝓幼崽的生活质量改善和BUG修复模组！
nonescreatures-name|[生物] None的生物包
nonescreatures-description|我迄今为止制作的所有生物。
mosquitoes-name|[生物] 蚊子
mosquitoes-description|添加了蚊子！！！注意：它们不会自然生成。
bebra.gregtech_lizard-name|[生物] 电击蜥蜴
bebra.gregtech_lizard-description|添加电击蜥蜴。因为这种生物吃铜线，所以获得了各种电击能力。<LINE>- 它每1-2秒释放一次电击（电击的频率和强度取决于与最近电击线圈的距离）。<LINE>- 每当蜥蜴咬到你时，它会释放能量电击，造成“溅射”攻击。<LINE>- 当电击线圈附近时，蜥蜴会移动得更快。<LINE>- 如果蜥蜴离电击线圈太近，它会从中吸取电力并将其关闭。<LINE>- 你可以通过将电击长矛投掷到蜥蜴身上来为其充电。<LINE>- 如果你将已充电的电击长矛投掷到蜥蜴身上，它会进入“过载”状态，并在大范围内释放巨大能量电击，直至爆炸。<LINE>- 如果蜥蜴在水中释放能量，它会爆炸，造成致命伤害和大范围波及。<LINE><LINE>为“排水”区域（即将推出）创建，但如果你愿意，可以在你的区域中使用它。<LINE><LINE>美术由：imlzy<LINE>编码由：me
Croken.Mimic-Long-Legs-name|[生物] 拟态长腿菌
Croken.Mimic-Long-Legs-description|添加拟态长腿菌，它会隐身以出其不意地攻击你。
com.rainworldgame.shroudedassembly.plugin-name|[依赖项] 暗影组装代码
com.rainworldgame.shroudedassembly.plugin-description|为暗影组装和其他模组提供的代码内容。
Croken.bombardier-vulture-name|[生物] 轰炸秃鹫
Croken.bombardier-vulture-description|添加一种新的秃鹫，会投掷接近引爆的爆炸种子。
aetherius.moddedcreaturesspawns-name|[生物] 模组生物生成
aetherius.moddedcreaturesspawns-description|在所有原版和倾盆大雨区域中为除Inv和观望者外的所有蛞蝓猫添加各种模组生物生成，遵循 Aetherius 的个人设定。<LINE>与修改生成和/或房间的其他模组大多兼容。
VioVayo.HoldItTightly-name|[修复] 紧紧抓住它
VioVayo.HoldItTightly-description|带着东西前往设施根源和苦涩荒原的单程旅行，而不会永久失去它们。
VioVayo.OopsMyBad-name|[无障碍] 哎呀，我的错
VioVayo.OopsMyBad-description|因为拾荒者们总是在意外中互相捅刀子！<LINE>在试图拯救拾荒者时意外伤害他们，损失更少的声望。<LINE><LINE>如果你归还了偷走的物品，则不损失声望。
simplespawnswapper-name|[工具] 简单生成替换器
simplespawnswapper-description|让模组制作者能够将一些生物生成替换为新的。
babylizards.sharkboi2701-name|[生物] 幼年蜥蜴
babylizards.sharkboi2701-description|包含所有基础游戏蜥蜴的幼年变种。
mrlagman.helpinghand-name|[修复,体验优化] 援手
mrlagman.helpinghand-description|为模组制作者和普通玩家提供各种有用且实用的功能集合：<LINE><LINE>1. 针对已知问题的空值避免器，例如泥鳅在通过鼠标拖拽等命令从房间删除时导致软锁，或HUD在玩家复活时导致NRE（例如使用开发者控制台时）。<LINE><LINE>2. 生活质量代码：<LINE><LINE>* 拾荒者现在可以在没有更好武器时使用烟雾果。烟雾果和泡泡草可以交易给拾荒者，特殊条件会提高或降低其价值。例如，死掉的烟雾果不能交易，而泡泡草在浸没式超级结构和海岸线有3点价值。<LINE><LINE>* 重新构想的交易：拾荒者现在的交易方式略有不同，商人携带的物品也因区域而异。<LINE><LINE>* 牦牛在被攻击后不会再被抛入大气层。<LINE><LINE>* 蛞蝓幼崽在生成时不会再卡在避难所地形中。<LINE><LINE>* 地下丛林、茂密巢穴和圣徒农场阵列中的蜥蜴头顶没有毛皮/刺结构。<LINE><LINE>* 仰望之月终于会描述蝙蝠草，而不再忽略它。<LINE><LINE>* 蜈蚣在快速移动时不会再过度拉伸。这在幼年蜈蚣被旋转的蜥蜴抓住时尤其明显。<LINE><LINE>* 混音菜单显示模组名称而非其ID。<LINE><LINE>* 点击“应用更改”后，雨世界会自动重启。<LINE><LINE>* 游戏崩溃时业力不再降至最低。注意，只有在游戏本身崩溃时才会保存业力，如果你按Alt+F4退出，则肯定会降低业力，就像你在周期开始30秒后退出一样。<LINE><LINE>* 设置为解锁某物的收藏品令牌，当解锁本身不存在或无效时，将不会解锁任何东西并保持非活跃状态。<LINE><LINE>* 白化绿色蜥蜴有固定几率出现（大约每37个ID出现一次）。<LINE><LINE>* 石头现在有轻微的颜色变化，不再那么单调。<LINE><LINE>* 沙盒编辑器现在显示所选物品的名称。<LINE><LINE>* 爆米花植物在被打开时会生成两颗种子。<LINE><LINE>* 菜单速度加快，这样你就不必等待漫长的时间。<LINE><LINE>* 与局外人和ULTRAKILL蛞蝓猫的兼容性：为有翅膀的角色提供彩色翅膀。禁用燕尾和触角以获得最佳外观。<LINE><LINE>* 猎手终于可以撕咬生物了。<LINE><LINE>* 游戏本身可以通过按下特定按钮重启（可在菜单中自定义，默认为F5）。<LINE><LINE>* 在隧道爬行状态且面朝下时，可以向下投掷长矛。<LINE><LINE>* 蝙蝠蝇终于可以储存在避难所中，而不是神秘消失。它们现在也容易受到回响镇静的影响。如果死亡，蝙蝠蝇在地面上的滑动会减少。<LINE><LINE>* 作为长矛大师进食和制造长矛的声音现在可以被附近的生物听到。<LINE><LINE>3. 可自定义和可扩展的制作系统。<LINE><LINE>4. 可自定义的生物对话气泡，跟随生物并在切换房间时被删除。<LINE><LINE>5. 某些代码“秘籍”或“快捷方式”：<LINE><LINE>* 可在代码中使用的时间控制，用于加速或减速时间。<LINE><LINE>* 特殊代码片段，允许在延迟后执行某个动作。<LINE><LINE>* 用于从“YourMod/text”目录中的.TXT文件加载文本的代码片段。这正是用于迭代器对话的代码，但官方代码被创作者私有化了。<LINE><LINE>* 两种制作对话的方式：一种用于中断当前对话并销毁任何本应播放的对话，另一种用于编写对话本身。<LINE><LINE>* 用于像迭代器在对话期间那样锁定和解锁快捷方式的小代码片段。<LINE><LINE>* 一些便捷的代码片段，用于快速移除对象或生物拥有的任何声音发射器；在房间中创建临时的UpdatableAndDeletable，且仅在生成它的房间中创建一次，无克隆和竞争条件；将放置的可食用对象标记为已消耗。<LINE><LINE>* 一些使计算生物生命值更容易的方法。生命值以长矛命中次数计算（1点）。可计算的细节包括：基于质量的缓步动物生命值；蜥蜴：触手吸收多少伤害（仅腐烂蜥蜴）、头部护盾受到多少伤害、喉咙受到多少伤害；考虑到基础伤害抗性和额外伤害抗性后，对生物造成多少伤害；在竞技场模式中，抗性由略有不同的值计算，如果生物被设置为无敌，计算器显示造成零伤害。<LINE><LINE>* 检查模组是否可用且当前开启的布尔值。对编写依赖于特定模组的代码很有用。<LINE><LINE>* 编写IL代码的快捷方式。<LINE><LINE>~更多功能即将到来~<LINE><LINE>此模组可以称为已完成，但我正在寻找更多雨世界错误，例如火精灵在自身被删除后未删除其光源。<LINE><LINE>如果你遇到了BUG，无论是此模组的还是雨世界本身的，请在评论中写下，我会在有时间时尝试修复。
CreatureChat-name|[工具] 生物对话
CreatureChat-description|一个可以创建跟随任何物品的对话气泡的工具。<LINE>使用说明在这里：https://github.com/whdzy-a/creatureChat
Noisy_Pup-name|[体验优化] 吵闹的幼崽
Noisy_Pup-description|让每只蛞蝓幼崽表达它们的感受！此模组为你的幼崽同伴添加实时语音功能，根据感受、环境和互动生成独特的对话气泡。
fargegoty.ImmersiveWorld-name|[体验优化] 沉浸式世界
fargegoty.ImmersiveWorld-description|一个添加动态效果的模组，让你的雨世界更加生动和沉浸。感受每一次呼吸和每一个动作。
testarenas-name|[竞技场] 测试竞技场
testarenas-description|想测试点什么？这里就是你需要的解决方案！
knightragu.slopeworld-name|[游戏机制] 斜坡世界
knightragu.slopeworld-description|赋予所有斜坡与观望者中的地形曲线相同的物理效果，允许更多移动选项，包括爬行转身和滑行！
codeax.fogandsmog-name|[外观] 雾与烟雾
codeax.fogandsmog-description|使海岸线、排水系统和垃圾堆等区域更雾蒙蒙，以匹配各自的湿度和污染程度！
silkcitadel-name|[外观] 丝绸城堡
silkcitadel-description|通过用蜘蛛网装饰阴影城堡来增强其视觉效果！
entitiesinden-name|[外观] 巢穴中的实体
entitiesinden-description|根据避难所中存在的实体，在休眠屏幕上显示生物和物品。
ShinyKelp.WhoEatsWhom-name|[游戏机制] 谁吃谁
ShinyKelp.WhoEatsWhom-description|修改生物关系。
sanygame.edible-name|[游戏机制] 万物可食
sanygame.edible-description|只要你能抓住它，你就能吃掉它。饥饿没有界限。
leemoriya.forecast-name|[外观] 天气预报
leemoriya.forecast-description|为游戏添加新的动态天气系统，具有许多可配置设置。
Blujai.Titles-name|[外观] 更多标题画面
Blujai.Titles-description|在通关制作人员名单后，添加更多游戏启动标题画面。
willowwisp.audiofix-name|[修复] 音频修复
willowwisp.audiofix-description|修复 v1.9.15 中的音频问题。（不过观望者仍然需要它。）
hanging.gardens-name|[区域] 空中花园
hanging.gardens-description|一座高耸的温室结构，是许多奇异生物的避难所。
slime-cubed.slugbase-name|[工具,依赖项] SlugBase
slime-cubed.slugbase-description|一个为游戏添加新角色的框架。<LINE>从这里开始制作你自己的：https://slimecubed.github.io/slugbase/
preservatory-name|[区域] 温室
preservatory-description|一条新路径在悬挂花园的顶峰等待着，充满秘密和不可预见的危险。
henpemaz_rainmeadow-name|[游戏模式] 雨甸
henpemaz_rainmeadow-description|一个多人游戏引擎，受 Might & Delight 的《Meadow》启发的自定义游戏模式，以及在线竞技场/故事体验。<LINE><LINE>完整制作人员名单请查看创意工坊或草原菜单中的制作人员名单页面。
pocky-raisin.forecrafts-name|[无障碍] 预见制作
pocky-raisin.forecrafts-description|允许饕餮玩家在完成制作之前预见制作的结果。
ap.shhh-name|[区域] 寂静风景
ap.shhh-description|工业区西侧的一个工业区域，供应天空群岛，连接两者。<LINE>用爱制作 <3
lb-fgf-m4r-ik.modpack-name|[生物,物品] The M4rblelous 实体包
lb-fgf-m4r-ik.modpack-description|一个作为其他模组依赖项使用的生物和物品包。
kadw.deathcount-name|[体验优化] 死亡计数
kadw.deathcount-description|在休眠/死亡界面和存档选择界面上显示每只蛞蝓猫的死亡次数。
crs-name|[工具,依赖项] 自定义区域支持
crs-description|对模组区域的支持！缩略图由 @Nautillo1 提供。
regionkit-name|[工具,依赖项] RegionKit
regionkit-description|一体化自定义区域依赖包。<LINE>源代码和详细描述托管在这里：https://github.com/Rain-World-Modding/RegionKit<LINE>[b]报告BUG[/b]<LINE>如果你有问题要报告，请通过GitHub issues、雨世界Discord服务器或在创意工坊项目下留言。请先尝试查看是否已有人报告了类似问题，如有相关材料请附上日志等！<LINE>[b]常见问题及解决方法[/b]<LINE>如果游戏崩溃但没有日志，请尝试手动删除BepInEx文件夹并重新验证游戏文件。
pom-name|[工具,依赖项] POM
pom-description|用于放置对象和效果的DevUI扩展。<LINE>源代码和说明可在此找到：https://github.com/Rain-World-Modding/Pom
spitanything-name|[游戏机制] 吐出任何东西
spitanything-description|让你可以让蜥蜴吐出任何东西！（在蜥蜴自定义器的“能力”选项卡中查看设置。）
lizardcustomizer-name|[工具,生物] 蜥蜴自定义器
lizardcustomizer-description|编辑蜥蜴！
Isbjorn52.ModPresets-name|[菜单优化] 模组包（模组预设）
Isbjorn52.ModPresets-description|此模组允许你创建、管理和分享模组包！<LINE><LINE>如果你感到困惑，之前称为模组预设！
SixtyFPSMenus-name|[菜单优化] 60FPS菜单
SixtyFPSMenus-description|将所有菜单从每秒40次更新加速到60次。这使所有菜单快50%，响应更灵敏。
MenuFixes-name|[菜单优化] 多项菜单修复
MenuFixes-description|多项菜单修复的合集，主要针对混音菜单。
frostbird347.vestiges-name|[无障碍] 残留物
frostbird347.vestiges-description|死亡后，你将留下一个暂时的残留物供其他玩家发现。
bro.mergefix-name|[修复] 合并修复
bro.mergefix-description|使模组重新加载速度呈指数级加快，<LINE>并修复了一些BUG。
vigaro.guardian-name|[工具] 守护者
vigaro.guardian-description|守护者
pkuyo.nofriendfire-name|[无障碍] 无友军伤害
pkuyo.nofriendfire-description|一个小模组，防止你伤害你的拾荒者和蜥蜴朋友。也防止拾荒者在你声望高时伤害你。
fof-name|[无障碍] 朋友的朋友
fof-description|使蜥蜴、拾荒者和蛞蝓猫在拥有共同朋友时避免互相攻击。<LINE><LINE>这是 RainDB 上“the one who screams”的“朋友间的和平”的重制实现。<LINE><LINE>代码位于 github.com/Dual-Iron/friends-of-friends。
xuanzebufeng.saintouterexpanse-name|[区域] 圣徒的外层空间
xuanzebufeng.saintouterexpanse-description|为圣徒添加了外层空间。
orchid.BeeLizard-name|[生物] 蜜蜂蜥蜴
orchid.BeeLizard-description|一种缓慢、笨重的蜥蜴，可以射出蜂巢。
reaperlizard-name|[生物] 收割者蜥蜴
reaperlizard-description|添加收割者蜥蜴！
falesk.lizardeggs-name|[物品] 蜥蜴蛋
falesk.lizardeggs-description|一个在游戏中添加新可食用物品的模组——Alpha版本中出现过的蜥蜴蛋。
SBCameraScroll-name|[无障碍] SB摄像机滚动
SBCameraScroll-description|创建一个平滑滚动的摄像机，跟随蛞蝓猫移动。基于 pipi toki 的 CameraScroll 模组。<LINE><LINE>不兼容：<LINE>- 蛞蝓猫挑眉模组中的缩放摄像机选项。
diverse_shelters-name|[体验优化] 多样化避难所
diverse_shelters-description|Better Shelters 模组的移植版，同时也改变了你在更多蛞蝓猫或倾盆大雨以及现在的观望者中找到的避难所。
Dreamstars.ModTranslation-name|[翻译] 模组翻译
Dreamstars.ModTranslation-description|此模组用于翻译其他模组添加的文本。<LINE><LINE>警告：此模组的翻译可能与官方翻译存在差异。如果你应用此模组，官方翻译将被覆盖。翻译涵盖：<LINE>模组区域<LINE>模组蛞蝓猫<LINE>自定义珍珠<LINE>自定义对话<LINE>自定义任务<LINE>自定义开发者评论<LINE>等等<LINE><LINE>非Steam版本在此：https://github.com/InkCloudStarsDream/Rainworld-ModTranslation<LINE><LINE>目前支持中文和西班牙语（部分），欢迎帮助我们翻译成其他语言。<LINE><LINE>如果你想帮助我们翻译或提出建议，欢迎在Discord上私信我们：@Wings Echo、@havenoideawhatismyname<LINE><LINE>贡献者：<LINE>@MoseYanyun、@Exmeow、@Celen、@W1LD1CECA7、@zbiotr、@Wings Echo、@havenoideawhatismyname、@XuanZeBuFen、@Tragulari、@yuze
spearhit.betterchitrans-name|[翻译] 更好的中文翻译
spearhit.betterchitrans-description|由中文翻译协助名单中相同的成员带来的中文翻译大修。<LINE><LINE>功能：<LINE>1. 对原版雨世界、混音、倾盆大雨、观望者DLC文本的大修。<LINE>2. 可配置的中文区域标题。<LINE>3. INV战役和恋爱模拟翻译。<LINE>4. 开发者评论翻译。<LINE>5. 防止切换语言显示时游戏崩溃。
fisobs-name|[工具,依赖项] Fisobs
fisobs-description|一个简化向雨世界添加新对象的库。<LINE><LINE>在 github.com/Dual-Iron/fisobs 学习使用。
ap.morepebbles-name|[体验优化] 更多卵石
ap.morepebbles-description|允许你添加自己的岩石精灵供游戏选择。
expanded_outskirts-name|[区域] 扩展外围
expanded_outskirts-description|对外围的多个区域进行扩展，包括一条通往工业区的新路径。
expandedindustrial-name|[区域] 扩展工业区
expandedindustrial-description|对工业区下部大部分区域的小型扩展。
nomoreblur-name|[体验优化] 无全屏模糊
nomoreblur-description|你厌倦了在全屏模式下玩游戏时看到那讨厌的全屏模糊吗？别担心！我花了几分钟时间做了个修复！虽然需要一点适应，但适应之后会好很多 :)
jes_v.watcher_rooms_vanilla-name|[无障碍] 观望者房间与原版一致性
jes_v.watcher_rooms_vanilla-description|将观望者腐烂区域中的2个房间（哇！）移植到对应的原版区域中：<LINE>- 从破碎边缘的一个避难所移植到外围（WSUR_S06）<LINE>- 从感染垃圾堆的一个塔移植到垃圾堆（WGWR_Disposal）
Kridi8606.RegionModsOptimizer-name|[体验优化] 区域模组优化器
Kridi8606.RegionModsOptimizer-description|区域模组优化器在使用大量区域模组时减少卡顿和加载时间。<LINE>启用多个区域包时，探索单个区域时可减少房间切换的卡顿。会对非活动区域的资源进行冷加载。<LINE>传送门冻结现象仍属正常。
devtools-name|开发者工具
devtools-description|启用游戏内开发者工具，它提供编辑地图和区域的必要工具，<LINE>并且可以帮助你为游戏添加模组。<LINE><LINE>在游戏中按“O”即可启用/禁用开发者工具，<LINE>然后按“H”即可调出主要开发者工具界面。
expedition-name|探险
expedition-description|在这个具有挑战性的新游戏模式中开始探险吧。你可以在完成随机挑战的同时避免永久死亡，并努力解锁新的额外有用奖励、惩罚性的负担和可以在音乐盒中播放的音乐曲目。
jollycoop-name|惬意合作模式
jollycoop-description|最多4名玩家的本地合作剧情和其他游戏模式。有朋友的旅程会更加美好！
moreslugcats-name|更多蛞蝓猫扩展包
moreslugcats-description|扩展包添加了五个新的可玩剧情，每个剧情都有独自的时间线。此扩展包内含新区域、生物、物品、音乐、替代结局、新游戏模式等等。
rwremix-name|雨世界拓展
rwremix-description|各种可配置的辅助功能和社区请求功能，包括新的游戏机制和奖励功能。使用配置界面即可打开或关闭各个功能。
watcher-name|观望者
watcher-description|扩展包添加了一个新剧情：观望者。本扩展包包含新的区域、生物、机制、物品、150余首全新音乐曲目，还有更多内容等你发现。
scugshots-name|[体验优化] 截图！
scugshots-description|拍摄截图，录制标准或高品质的MP4视频，或录制GIF动图，然后在游戏内的图库中查看。
MiffyL.FoodRegenTime-name|[工具] 食物再生
MiffyL.FoodRegenTime-description|允许您控制食物再生所需的循环次数。<LINE>默认再生循环次数：2-3（食物将在2或3个循环内随机再生），可在Remix菜单中进行设置。
Translator-name|翻译器
xuanzebufeng.advancedtranslationcore-name|[翻译] 高级翻译核心
xuanzebufeng.advancedtranslationcore-description|终极翻译工具，一款基于众多真实翻译场景开发的模组，可解决90%的翻译问题。
